Ticker,Strategy,Total_Return_%,Trades,Win_Rate_%,Profit_Factor,Avg_Win_Return_pct,Avg_Loss_Return_pct,Win_Loss_Ratio,Max_Drawdown_pct,Sharpe_Ratio,Recovery_Factor,Long_Total_Return_%,Long_Trades,Long_Win_Rate_%,Long_Profit_Factor,Long_Avg_Win_Return_pct,Long_Avg_Loss_Return_pct,Long_Win_Loss_Ratio,Long_Max_Drawdown_pct,Long_Sharpe_Ratio,Long_Recovery_Factor,Short_Total_Return_%,Short_Trades,Short_Win_Rate_%,Short_Profit_Factor,Short_Avg_Win_Return_pct,Short_Avg_Loss_Return_pct,Short_Win_Loss_Ratio,Short_Max_Drawdown_pct,Short_Sharpe_Ratio,Short_Recovery_Factor
MAZDOCK,Momentum_20,877.49,716,52.09,1.364,2.78,-2.24,1.243,-45.91,1.254,19.113,1912.84,441,53.29,1.779,3.26,-2.11,1.544,-26.94,1.821,71.004,-51.44,275,50.18,0.824,1.98,-2.44,0.812,-52.3,-0.774,-0.984
MAZDOCK,Trend_Filter,820.78,1038,51.54,1.269,2.48,-2.1,1.179,-48.36,1.163,16.972,1578.14,549,51.18,1.581,3.11,-2.09,1.491,-32.37,1.637,48.753,-45.13,489,51.94,0.917,1.77,-2.12,0.838,-48.03,-0.519,-0.94
COCHINSHIP,Trend_Filter,739.53,1038,51.16,1.265,2.4,-2.01,1.193,-42.66,1.146,17.335,1102.97,515,51.07,1.576,2.94,-1.95,1.505,-32.28,1.524,34.169,-30.21,523,51.24,0.968,1.86,-2.06,0.903,-46.66,-0.319,-0.647
FACT,Momentum_20,697.86,725,51.45,1.328,2.84,-2.29,1.239,-45.29,1.116,15.409,966.13,404,50.99,1.664,3.31,-2.08,1.591,-26.63,1.427,36.28,-25.16,321,52.02,0.974,2.26,-2.57,0.88,-43.62,-0.279,-0.577
BSE,Momentum_20,580.33,757,54.69,1.317,2.31,-2.14,1.078,-52.15,1.159,11.128,1368.6,470,57.02,1.755,2.54,-1.95,1.303,-26.23,1.88,52.177,-53.68,287,50.87,0.812,1.88,-2.41,0.779,-69.53,-0.836,-0.772
SUZLON,Momentum_20,538.71,778,50.51,1.274,2.7,-2.37,1.138,-43.52,1.084,12.379,423.33,448,49.11,1.402,3.04,-2.24,1.358,-40.63,1.122,10.419,22.05,330,52.42,1.102,2.25,-2.57,0.879,-30.47,0.104,0.724
ZENTEC,Momentum_20,523.37,662,48.79,1.321,2.8,-2.04,1.37,-41.39,1.109,12.645,747.75,441,49.43,1.606,2.88,-1.77,1.628,-27.65,1.52,27.044,-26.47,221,47.51,0.943,2.64,-2.58,1.023,-58.93,-0.379,-0.449
IFCI,Momentum_20,496.58,793,49.05,1.257,2.91,-2.44,1.193,-38.97,0.983,12.743,397.29,450,45.78,1.366,3.59,-2.38,1.506,-38.11,0.968,10.425,19.97,343,53.35,1.092,2.14,-2.52,0.848,-33.51,0.082,0.596
RVNL,Momentum_20,475.21,685,51.53,1.312,2.62,-2.18,1.205,-45.47,1.006,10.451,479.96,407,49.39,1.492,3.15,-2.1,1.5,-37.16,1.104,12.916,-0.82,278,54.68,1.042,1.93,-2.31,0.836,-37.16,-0.122,-0.022
COCHINSHIP,Momentum_20,470.49,752,50.8,1.28,2.58,-2.1,1.23,-34.85,1.029,13.5,781.92,462,51.95,1.561,2.85,-1.99,1.437,-25.41,1.438,30.772,-35.31,290,48.97,0.909,2.12,-2.27,0.935,-54.59,-0.518,-0.647
IRFC,Trend_Filter,465.31,1038,49.13,1.275,1.93,-1.56,1.233,-46.34,1.041,10.041,506.58,413,48.43,1.57,2.85,-1.76,1.617,-37.75,1.215,13.419,-6.8,625,49.6,1.013,1.33,-1.42,0.938,-32.12,-0.186,-0.212
TARIL,Momentum_20,450.65,741,52.9,1.231,3.12,-2.87,1.087,-40.56,0.932,11.111,768.52,487,52.57,1.424,3.34,-2.62,1.274,-28.96,1.29,26.537,-36.6,254,53.54,0.936,2.7,-3.35,0.805,-56.89,-0.382,-0.643
TITAGARH,Momentum_20,441.96,768,51.17,1.271,2.45,-2.05,1.197,-31.33,1.045,14.107,386.14,476,50.63,1.411,2.6,-1.91,1.364,-32.44,1.114,11.903,11.48,292,52.05,1.074,2.22,-2.29,0.968,-37.18,-0.009,0.309
RVNL,Trend_Filter,407.35,1038,49.9,1.22,2.32,-1.96,1.185,-49.46,0.904,8.236,753.53,497,48.69,1.507,3.07,-1.96,1.563,-37.32,1.297,20.191,-40.56,541,51.02,0.932,1.66,-1.95,0.851,-50.4,-0.47,-0.805
GVT&D,Momentum_20,369.95,699,51.36,1.254,2.59,-2.2,1.177,-44.42,0.983,8.328,1302.96,535,54.02,1.6,2.67,-1.97,1.357,-29.48,1.829,44.198,-66.5,164,42.68,0.607,2.24,-2.8,0.798,-68.12,-1.547,-0.976
SCHNEIDER,Trend_Filter,359.1,1038,49.13,1.192,2.39,-1.95,1.227,-67.13,0.9,5.349,758.23,575,49.22,1.46,2.71,-1.8,1.501,-44.18,1.462,17.162,-46.51,463,49.03,0.911,2.0,-2.13,0.939,-56.13,-0.567,-0.829
ADANIPOWER,Momentum_20,354.13,694,53.75,1.264,2.46,-2.28,1.078,-55.82,0.922,6.344,498.2,432,51.62,1.491,2.77,-2.01,1.377,-31.15,1.247,15.994,-24.08,262,57.25,0.961,1.99,-2.78,0.718,-61.97,-0.325,-0.389
SCHNEIDER,Momentum_20,335.18,746,49.06,1.244,2.51,-1.96,1.281,-47.42,0.939,7.068,603.08,470,50.43,1.513,2.7,-1.82,1.481,-39.06,1.435,15.44,-38.1,276,46.74,0.886,2.18,-2.19,0.996,-44.8,-0.614,-0.851
SWANCORP,Momentum_20,323.27,780,49.87,1.231,2.52,-2.06,1.225,-59.01,0.876,5.478,209.69,425,47.29,1.324,2.73,-1.87,1.463,-41.35,0.822,5.071,36.67,355,52.96,1.13,2.3,-2.32,0.992,-41.68,0.207,0.88
TRENT,Trend_Filter,323.03,1038,53.37,1.244,1.56,-1.44,1.08,-30.73,1.014,10.512,356.18,586,54.78,1.514,1.49,-1.2,1.25,-21.9,1.451,16.264,-7.27,452,51.55,1.017,1.64,-1.74,0.943,-41.03,-0.164,-0.177
PGEL,Trend_Filter,318.66,1038,50.29,1.185,2.4,-2.06,1.165,-41.36,0.821,7.705,644.31,584,48.97,1.437,2.63,-1.76,1.492,-27.73,1.342,23.235,-43.75,454,51.98,0.939,2.13,-2.48,0.86,-57.63,-0.394,-0.759
MRPL,Momentum_20,303.87,722,51.52,1.248,2.45,-2.13,1.151,-51.41,0.837,5.911,267.88,400,49.5,1.361,3.09,-2.27,1.361,-48.73,0.837,5.497,9.78,322,54.04,1.069,1.73,-1.94,0.891,-28.85,-0.051,0.339
OFSS,Momentum_20,284.56,490,53.88,1.475,1.75,-1.41,1.246,-23.58,1.117,12.068,222.8,315,53.33,1.678,1.89,-1.3,1.458,-17.19,1.057,12.961,19.13,175,54.86,1.168,1.52,-1.62,0.937,-15.94,-0.057,1.2
